六日 むいか 六号
七日 なのか 七号
載せる のせる 刊登
爽やか さわやか 爽朗
引き受ける ひけうける 承担、负责
用意 ようい 准备、防备
ただ/たった ただ/たった 只是
単に たんに 只不过是
余計 よけ 剩余、多余
途端 とたん 突然
間に合う まにあう 赶得上、来得及、过得去
勝ち負け かちまけ
貧しい まずしい 贫穷
優れる すぐれる 超过
朗らか ほがらか 开朗
普段 ふだん 平常
触れる ふれる 耳、目等感觉
贈り おくり 赠送
あらゆる あらゆる 所有、一切
エリート エリート 精英
好み このみ 嗜好
乏しい とぼしい 贫乏、匮乏
胸 むね 胸 
すっきり 文章、说话流利、衣服整洁、头脑清楚
子供連れ 子供連れ 带着孩子
目立つ めだつ 引人注目
きっかけ きっかけ 机会，契机，机缘
旗 はた 旗
押し付ける おしける 强加，按住
仲間 なかま 同事
古里 ふるさと 
毛糸 けいと 毛线
孫 まご 子孙后代
似合う 适合 にあう
手作り てづくり 手制
苦戦 くせん 苦战
かなり 颇 相当
愛着 あいちゃく 留恋、依依不舍
器用 きよう 灵巧
努める つとめる 努力，尽力
偶々 たまたま 无意间，偶然间
負ける まける 屈服、稔熟
文字 もじ 文字
お菓子 おかし 点心
残る のこる 残余、剩余
ことだし ことだし 軽い理由です。
切り上げ きりあげ 在适当的地方结束，货币升值、进位
受信 じゅしん 收信、收听
囲む かこむ 圈上、围上
損害 そんがい 损害
現像 げんぞう 显影、冲洗
酷い ひどい 粗暴，无情，过分，凶猛，厉害，严重，倒霉，无情
憎い にくい ①可恶，可恨，②令人钦佩
ずるい ずるい 滑头的
争う あらそう 竞争、斗争、争论
戦う たたかう 战争
競う きそう 竞争、比赛
抗う あらがう 对抗
鮮やか あざやか 鲜亮
呆れる あきれる　呆若木鸡
憧れる あこがれる 憧憬
扱う あつかう 出力，但当，应酬，经营，调和
当てはめる あてはめる 适用
当てる あてる 碰撞，紧贴
暴れる あばれる 胡闹
言いつける いいつける 告发，吩咐，命令
威張る いばる 自以为了不起
悪戯 いたずら adj./恶作剧、n./男女关系的胡搞
抱く いだく 怀抱、怀有、抱
抱く だく 孵卵、男人和女人发生关系
其々 それぞれ 各自
お絞り おしぼり 湿巾
パスタ パスタ 意大利面
調理 ちょうり 烹饪
親子 おやこ 父母与子女
狐 キツネ 狐
好物　こうっぶつ 爱吃的东西
着席 ちゃくせき 入座
ウェットティッシュ ウエットティッシュ（uxettothissyu） 湿的纸巾
包丁 ほうちょう 菜刀
答案 とうあん 答案
隠す かくす 隐藏
制限 せいげん 限度
裸足 はだし 裸足
小麦 こむぎ 小麦
収穫 しゅうかく 收获
